field_code,name,level,scopus_code,scopus_name
top_Life,Life Sciences,TOP,L,Top level: Life Sciences
top_Social,Social Sciences,TOP,S,Top level: Social Sciences
top_Physical,Physical Sciences,TOP,P,Top level: Physical Sciences
top_Health,Health Sciences,TOP,H,Top level: Health Sciences
bot_General,General,BOT,1000,1000 General
bot_AgriculturalAndBiological,Agricultural and Biological Sciences,BOT,1100,1100 Agricultural and Biological Sciences
bot_ArtsHumanities,Arts and Humanities,BOT,1200,1200 Arts and Humanities
bot_BiochemistryGeneticsMolecularBiology,"Biochemistry, Genetics and Molecular Biology",BOT,1300,"1300 Biochemistry, Genetics and Molecular Biology"
bot_BusinessManagementAccounting,"Business, Management and Accounting",BOT,1400,"1400 Business, Management and Accounting"
bot_ChemicalEngineering,Chemical Engineering,BOT,1500,1500 Chemical Engineering
bot_Chemistry,Chemistry,BOT,1600,1600 Chemistry
bot_ComputerScience,Computer Science,BOT,1700,1700 Computer Science
bot_DecisionSciences,Decision Sciences,BOT,1800,1800 Decision Sciences
bot_EarthPlanetarySciences,Earth and Planetary Sciences,BOT,1900,1900 Earth and Planetary Sciences
bot_EconomicsEconometricsFinance,"Economics, Econometrics and Finance",BOT,2000,"2000 Economics, Econometrics and Finance"
bot_Energy,Energy,BOT,2100,2100 Energy
bot_Engineering,Engineering,BOT,2200,2200 Engineering
bot_EnvironmentalScience,Environmental Science,BOT,2300,2300 Environmental Science
bot_ImmunologyMicrobiology,Immunology and Microbiology,BOT,2400,2400 Immunology and Microbiology
bot_Materials,Materials Science,BOT,2500,2500 Materials Science
bot_Mathematics,Mathematics,BOT,2600,2600 Mathematics
bot_Medicine,Medicine,BOT,2700,2700 Medicine
bot_Neuroscience,Neuroscience,BOT,2800,2800 Neuroscience
bot_Nursing,Nursing,BOT,2900,2900 Nursing
bot_PharmacologyToxicologyPharmaceutics,"Pharmacology, Toxicology and Pharmaceutics",BOT,3000,"3000 Pharmacology, Toxicology and Pharmaceutics"
bot_PhysicsAstronomy,Physics and Astronomy,BOT,3100,3100 Physics and Astronomy
bot_Psychology,Psychology,BOT,3200,3200 Psychology
bot_SocialSciences,Social Sciences,BOT,3300,3300 Social Sciences
bot_Veterinary,Veterinary,BOT,3400,3400 Veterinary
bot_Dentistry,Dentistry,BOT,3500,3500 Dentistry
bot_HealthProfessions,Health Professions,BOT,3600,3600 Health Professions
All,All Fields,TOP,A,A
